usage_composite_rank,model_name,vendor,landscape_domain,weight_access_status,license,license_display_name,license_display_class,license_url,license_note,parameter_count_b,usage_composite_score,aai_score,primary_category,capability_tags
25,MiMo-V2.5-Pro,Xiaomi,"Reasoning, Math & Science",Open weights,mit,MIT License,OSI-approved software license,https://huggingface.co/XiaomiMiMo/MiMo-V2.5-Pro,The public weights use an OSI-approved software license.,1023.245,57.4634,,Reasoning,text_input|text_output|reasoning|tool_use|structured_output|agentic
26,Claude Haiku 4.5,Anthropic,"Efficient, Edge & Specialized",Closed or no public weights,,API-only,No public weights resolved,,,,56.6586,,Multimodal / VLM,text_input|image_input|file_input|text_output|reasoning|tool_use|structured_output
27,Grok 4.5,xAI,Frontier Generalist,Closed or no public weights,,API-only,No public weights resolved,,,,56.0975,53.8,Multimodal / VLM,text_input|image_input|file_input|text_output|reasoning|tool_use|structured_output|coding
28,Gemini 3.5 Flash,Google,Multimodal & Realtime,Closed or no public weights,,API-only,No public weights resolved,,,,55.9756,,Multimodal / VLM,text_input|image_input|video_input|file_input|audio_input|text_output|reasoning|tool_use|structured_output|coding|agentic
29,GPT-5.6 Terra,OpenAI,Coding & Agentic,Closed or no public weights,,API-only,No public weights resolved,,,,55.7805,55.0,Multimodal / VLM,file_input|image_input|text_input|text_output|reasoning|tool_use|structured_output|coding|agentic
30,Gemini 2.5 Flash,Google,Multimodal & Realtime,Closed or no public weights,,API-only,No public weights resolved,,,,54.8537,,Multimodal / VLM,file_input|image_input|text_input|audio_input|video_input|text_output|reasoning|tool_use|structured_output|coding
31,Qwen3.7 Max,Qwen,Frontier Generalist,Closed or no public weights,,API-only,No public weights resolved,,,,51.7317,,Reasoning,text_input|text_output|reasoning|tool_use|structured_output|coding|agentic
32,Ling-3.0-flash (free),Inclusionai,"Reasoning, Math & Science",Closed or no public weights,,API-only,No public weights resolved,,,,50.3171,,Reasoning,text_input|text_output|reasoning|tool_use|agentic
33,Anthropic Claude Sonnet Latest,~Anthropic,Multimodal & Realtime,Closed or no public weights,,API-only,No public weights resolved,,,,47.0,,Multimodal / VLM,text_input|image_input|file_input|text_output|reasoning|tool_use|structured_output
34,Kimi K2.7 Code,MoonshotAI,Coding & Agentic,Open weights,other,Modified MIT License,Modified software license,https://huggingface.co/moonshotai/Kimi-K2.7-Code/blob/main/LICENSE,MIT terms with a branding condition above the stated monthly active-user or revenue thresholds.,1058.589,45.9512,,Code & Math,text_input|image_input|text_output|reasoning|tool_use|structured_output|coding
35,Qwen3.7 Plus,Qwen,Multimodal & Realtime,Closed or no public weights,,API-only,No public weights resolved,,,,44.9025,,Multimodal / VLM,text_input|image_input|text_output|reasoning|tool_use|structured_output
36,Gemini 3.1 Pro Preview,Google,Frontier Generalist,Closed or no public weights,,API-only,No public weights resolved,,,,43.2195,,Multimodal / VLM,audio_input|file_input|image_input|text_input|video_input|text_output|reasoning|tool_use|structured_output|agentic
37,Doubao-Seed-Character,ByteDance,"Efficient, Edge & Specialized",Closed or no public weights,,API-only,No public weights resolved,,,,40.0,,General Language,
38,Hy3 preview,Tencent,"Reasoning, Math & Science",Open weights,other,Tencent Hy Community License Agreement,Custom community license,https://huggingface.co/tencent/Hy3-preview/blob/main/LICENSE,"Territory and scale conditions apply; the agreement excludes the EU, UK and South Korea.",298.786,39.0244,,Reasoning,text_input|text_output|reasoning|tool_use|agentic
39,GPT-5.4 Mini,OpenAI,"Efficient, Edge & Specialized",Closed or no public weights,,API-only,No public weights resolved,,,,38.6097,,Multimodal / VLM,file_input|image_input|text_input|text_output|reasoning|tool_use|structured_output|coding
40,gpt-oss-120b,OpenAI,"Efficient, Edge & Specialized",Open weights,apache-2.0,Apache License 2.0,OSI-approved software license,https://huggingface.co/openai/gpt-oss-120b,The public weights use an OSI-approved software license.,120.412,38.4147,,Reasoning,text_input|text_output|reasoning|tool_use|structured_output|agentic
41,laguna-m.1-20260312:free,Poolside,Coding & Agentic,Closed or no public weights,,API-only,No public weights resolved,,,,37.8049,,General Language,
42,GLM 5,Z.ai,"Reasoning, Math & Science",Open weights,mit,MIT License,OSI-approved software license,https://huggingface.co/zai-org/GLM-5,The public weights use an OSI-approved software license.,753.864,37.0488,,Reasoning,text_input|text_output|reasoning|tool_use|structured_output|agentic
43,Gemma 4 31B,Google,Multimodal & Realtime,Open weights,apache-2.0,Apache License 2.0,OSI-approved software license,https://huggingface.co/google/gemma-4-31B-it,The public weights use an OSI-approved software license.,32.682,36.5853,,Multimodal / VLM,image_input|text_input|video_input|text_output|reasoning|tool_use|structured_output
44,GPT-5.2,OpenAI,Frontier Generalist,Closed or no public weights,,API-only,No public weights resolved,,,,35.4147,,Multimodal / VLM,file_input|image_input|text_input|text_output|reasoning|tool_use|structured_output|agentic
45,Doubao-Seed-2.1-pro,ByteDance,Frontier Generalist,Closed or no public weights,,API-only,No public weights resolved,,,,35.0,,General Language,
46,Nemotron 3 Super,NVIDIA,"Efficient, Edge & Specialized",Open weights,other,NVIDIA Nemotron Open Model License,Custom open-model license,https://www.nvidia.com/en-us/agreements/enterprise-software/nvidia-nemotron-open-model-license/,NVIDIA permits commercial use subject to the terms of its model-specific license.,123.611,34.7561,,Reasoning,text_input|text_output|reasoning|tool_use|structured_output|agentic
47,Gemma 4 26B A4B,Google,Multimodal & Realtime,Open weights,apache-2.0,Apache License 2.0,OSI-approved software license,https://huggingface.co/google/gemma-4-26B-A4B-it,The public weights use an OSI-approved software license.,26.544,32.9269,,Multimodal / VLM,image_input|text_input|video_input|text_output|reasoning|tool_use|structured_output
48,Kimi K2.6,MoonshotAI,Coding & Agentic,Open weights,other,Modified MIT License,Modified software license,https://huggingface.co/moonshotai/Kimi-K2.6/blob/main/LICENSE,MIT terms with a branding condition above the stated monthly active-user or revenue thresholds.,1058.589,32.8781,,Multimodal / VLM,text_input|image_input|text_output|reasoning|tool_use|structured_output|coding|agentic
49,GPT-4o-mini,OpenAI,"Efficient, Edge & Specialized",Closed or no public weights,,API-only,No public weights resolved,,,,31.4878,,Multimodal / VLM,text_input|image_input|file_input|text_output|tool_use|structured_output
50,Mistral Nemo,Mistral,"Efficient, Edge & Specialized",Open weights,apache-2.0,Apache License 2.0,OSI-approved software license,https://huggingface.co/mistralai/Mistral-Nemo-Instruct-2407,The public weights use an OSI-approved software license.,12.248,29.2683,,General Language,text_input|text_output|tool_use|structured_output
