repo_name,landscape_action,landscape_layer,landscape_section,openrank_2607,stars,license,description,selection_reason,selection_caveat
airbytehq/airbyte,keep,Model Infra,Data · Integration,20.61,21774,NOASSERTION,"Open-source data movement for ELT pipelines and AI agents — from APIs, databases & files to warehouses, lakes, and AI applications. Both self-hosted and Cloud.","当前图中的 Data · Integration 代表项目；仓库仍在维护，21,774 stars，2026 年 7 月 OpenRank 20.61。",只放与 AI 数据准备直接相关的代表项目，避免扩张成通用数据工程图。
HumanSignal/label-studio,keep,Model Infra,Data · Labeling,1.97,27975,Apache-2.0,Label Studio is a multi-type data labeling and annotation tool with standardized output format,"当前图中的 Data · Labeling 代表项目；仓库仍在维护，27,975 stars，2026 年 7 月 OpenRank 1.97。",保留通用标注平台，垂直数据工具进入专题而不是主图。
cvat-ai/cvat,keep,Model Infra,Data · Labeling,6.34,16446,MIT,"Computer Vision Annotation Tool (CVAT) is a leading platform for building high-quality visual datasets for vision AI. It offers open-source, cloud, and enterprise products, as well as labeling services, for image, video, and 3D annotation with AI-assisted labeling, quality assurance, team collaboration, analytics, and developer APIs.","当前图中的 Data · Labeling 代表项目；仓库仍在维护，16,446 stars，2026 年 7 月 OpenRank 6.34。",保留通用标注平台，垂直数据工具进入专题而不是主图。
ray-project/ray,keep,Model Infra,Compute & scheduling,71.45,43424,Apache-2.0,Ray is an AI compute engine. Ray consists of a core distributed runtime and a set of AI Libraries for accelerating ML workloads.,"当前图中的 Compute & scheduling 代表项目；仓库仍在维护，43,424 stars，2026 年 7 月 OpenRank 71.45。",保留通用计算和 Kubernetes AI 调度代表，不增加相似控制器。
apache/spark,keep,Model Infra,Compute & scheduling,68.18,43776,Apache-2.0,Apache Spark - A unified analytics engine for large-scale data processing,"当前图中的 Compute & scheduling 代表项目；仓库仍在维护，43,776 stars，2026 年 7 月 OpenRank 68.18。",保留通用计算和 Kubernetes AI 调度代表，不增加相似控制器。
volcano-sh/volcano,keep,Model Infra,Compute & scheduling,9.67,5828,Apache-2.0,A Cloud Native Batch System (Project under CNCF),"当前图中的 Compute & scheduling 代表项目；仓库仍在维护，5,828 stars，2026 年 7 月 OpenRank 9.67。",保留通用计算和 Kubernetes AI 调度代表，不增加相似控制器。
deepspeedai/DeepSpeed,keep,Model Infra,Pre-Train · Framework & parallel,5.74,42852,Apache-2.0,"DeepSpeed is a deep learning optimization library that makes distributed training and inference easy, efficient, and effective.","当前图中的 Pre-Train · Framework & parallel 代表项目；仓库仍在维护，42,852 stars，2026 年 7 月 OpenRank 5.74。",保留通用框架和并行训练基线，不按短期 stars 排名。
NVIDIA/Megatron-LM,keep,Model Infra,Pre-Train · Framework & parallel,32.39,17312,NOASSERTION,Ongoing research training transformer models at scale,"当前图中的 Pre-Train · Framework & parallel 代表项目；仓库仍在维护，17,312 stars，2026 年 7 月 OpenRank 32.39。",保留通用框架和并行训练基线，不按短期 stars 排名。
modelscope/ms-swift,keep,Model Infra,Post-Train · Supervised fine-tuning,13.69,15030,Apache-2.0,"Use PEFT or Full-parameter to CPT/SFT/DPO/GRPO 600+ LLMs (Qwen3.6, DeepSeek-V4, GLM-5.1, InternLM3, Llama4, ...) and 300+ MLLMs (Qwen3-VL, Qwen3-Omni, InternVL3.5, Ovis2.5, GLM4.5v, Gemma4, Llava, Phi4, ...) (AAAI 2025).","当前图中的 Post-Train · Supervised fine-tuning 代表项目；仓库仍在维护，15,030 stars，2026 年 7 月 OpenRank 13.69。",当前三个代表已经覆盖主流易用训练工具，不继续扩容。
unslothai/unsloth,keep,Model Infra,Post-Train · Supervised fine-tuning,28.52,69462,Apache-2.0,"Unsloth is a local UI for training and running Kimi K3, Gemma 4, Qwen3.6, DeepSeek-V4, GLM and other models.","当前图中的 Post-Train · Supervised fine-tuning 代表项目；仓库仍在维护，69,462 stars，2026 年 7 月 OpenRank 28.52。",当前三个代表已经覆盖主流易用训练工具，不继续扩容。
hiyouga/LlamaFactory,keep,Model Infra,Post-Train · Supervised fine-tuning,,73715,Apache-2.0,Unified Efficient Fine-Tuning of 100+ LLMs & VLMs (ACL 2024),"当前图中的 Post-Train · Supervised fine-tuning 代表项目；仓库仍在维护，73,715 stars。",当前三个代表已经覆盖主流易用训练工具，不继续扩容。
ollama/ollama,keep,Model Infra,Serving · Deploy,167.01,177679,MIT,"Get up and running with Kimi-K2.6, GLM-5.2, MiniMax, DeepSeek, gpt-oss, Qwen, Gemma and other models.","当前图中的 Serving · Deploy 代表项目；仓库仍在维护，177,679 stars，2026 年 7 月 OpenRank 167.01。",该区只保留部署入口和 serving control plane，不与底层 inference engine 重复。
ai-dynamo/dynamo,keep,Model Infra,Serving · Deploy,115.92,7667,NOASSERTION,A Datacenter Scale Distributed Inference Serving Framework,"当前图中的 Serving · Deploy 代表项目；仓库仍在维护，7,667 stars，2026 年 7 月 OpenRank 115.92。",该区只保留部署入口和 serving control plane，不与底层 inference engine 重复。
vllm-project/vllm,keep,Model Infra,Serving · Inference,189.08,88085,Apache-2.0,A high-throughput and memory-efficient inference and serving engine for LLMs,"当前图中的 Serving · Inference 代表项目；仓库仍在维护，88,085 stars，2026 年 7 月 OpenRank 189.08。",项目数量已经较多，子项目和硬件 plugin 优先作为注释而不是独立 logo。
sgl-project/sglang,keep,Model Infra,Serving · Inference,215.0,31166,Apache-2.0,SGLang is a high-performance serving framework for large language models and multimodal models.,"当前图中的 Serving · Inference 代表项目；仓库仍在维护，31,166 stars，2026 年 7 月 OpenRank 215.00。",项目数量已经较多，子项目和硬件 plugin 优先作为注释而不是独立 logo。
NVIDIA/TensorRT-LLM,keep,Model Infra,Serving · Inference,145.76,14285,NOASSERTION,TensorRT LLM provides users with an easy-to-use Python API to define Large Language Models (LLMs) and supports state-of-the-art optimizations to perform inference efficiently on NVIDIA GPUs. TensorRT LLM also contains components to create Python and C++ runtimes that orchestrate the inference execution in a performant way.,"当前图中的 Serving · Inference 代表项目；仓库仍在维护，14,285 stars，2026 年 7 月 OpenRank 145.76。",项目数量已经较多，子项目和硬件 plugin 优先作为注释而不是独立 logo。
ggml-org/llama.cpp,keep,Model Infra,Serving · Inference,90.46,122565,MIT,LLM inference in C/C++,"当前图中的 Serving · Inference 代表项目；仓库仍在维护，122,565 stars，2026 年 7 月 OpenRank 90.46。",项目数量已经较多，子项目和硬件 plugin 优先作为注释而不是独立 logo。
openvinotoolkit/openvino,keep,Model Infra,Serving · Inference,27.34,10598,Apache-2.0,OpenVINO™ is an open source toolkit for optimizing and deploying AI inference,"当前图中的 Serving · Inference 代表项目；仓库仍在维护，10,598 stars，2026 年 7 月 OpenRank 27.34。",项目数量已经较多，子项目和硬件 plugin 优先作为注释而不是独立 logo。
mlflow/mlflow,keep,Model Infra,Pre-Train · Evaluation & observability,31.5,27346,Apache-2.0,"The open source AI engineering platform for agents, LLMs, and ML models. MLflow enables teams of all sizes to debug, evaluate, monitor, and optimize production-quality AI applications while controlling costs and managing access to models and data.","当前图中的 Pre-Train · Evaluation & observability 代表项目；仓库仍在维护，27,346 stars，2026 年 7 月 OpenRank 31.50。",该区同时包含实验追踪和模型生命周期管理，需避免与 Agent observability 混用。
wandb/wandb,keep,Model Infra,Pre-Train · Evaluation & observability,33.87,11212,MIT,"The AI developer platform. Use Weights & Biases to train and fine-tune models, and manage models from experimentation to production.","当前图中的 Pre-Train · Evaluation & observability 代表项目；仓库仍在维护，11,212 stars，2026 年 7 月 OpenRank 33.87。",该区同时包含实验追踪和模型生命周期管理，需避免与 Agent observability 混用。
verl-project/verl,keep,Model Infra,Post-Train · Reinforcement learning,22.94,22777,Apache-2.0,verl/HybridFlow: A Flexible and Efficient RL Post-Training Framework,"当前图中的 Post-Train · Reinforcement learning 代表项目；仓库仍在维护，22,777 stars，2026 年 7 月 OpenRank 22.94。",框架功能重叠明显，按通用性和持续协作控制在四个项目。
areal-project/AReaL,keep,Model Infra,Post-Train · Reinforcement learning,6.45,5638,Apache-2.0,The RL Bridge for LLM-based Agent Applications. Made Simple & Flexible.,"当前图中的 Post-Train · Reinforcement learning 代表项目；仓库仍在维护，5,638 stars，2026 年 7 月 OpenRank 6.45。",框架功能重叠明显，按通用性和持续协作控制在四个项目。
pytorch/pytorch,keep,Model Infra,Pre-Train · Framework & parallel,333.26,102157,NOASSERTION,Tensors and Dynamic neural networks in Python with strong GPU acceleration,"当前图中的 Pre-Train · Framework & parallel 代表项目；仓库仍在维护，102,157 stars，2026 年 7 月 OpenRank 333.26。",保留通用框架和并行训练基线，不按短期 stars 排名。
PaddlePaddle/Paddle,keep,Model Infra,Pre-Train · Framework & parallel,23.89,24042,Apache-2.0,PArallel Distributed Deep LEarning: Machine Learning Framework from Industrial Practice （『飞桨』核心框架，深度学习&机器学习高性能单机、分布式训练和跨平台部署）,"当前图中的 Pre-Train · Framework & parallel 代表项目；仓库仍在维护，24,042 stars，2026 年 7 月 OpenRank 23.89。",保留通用框架和并行训练基线，不按短期 stars 排名。
jax-ml/jax,keep,Model Infra,Pre-Train · Framework & parallel,121.48,36090,Apache-2.0,"Composable transformations of Python+NumPy programs: differentiate, vectorize, JIT to GPU/TPU, and more","当前图中的 Pre-Train · Framework & parallel 代表项目；仓库仍在维护，36,090 stars，2026 年 7 月 OpenRank 121.48。",保留通用框架和并行训练基线，不按短期 stars 排名。
kserve/kserve,keep,Model Infra,Compute & scheduling,9.58,5766,Apache-2.0,"Standardized Distributed Generative and Predictive AI Inference Platform for Scalable, Multi-Framework Deployment on Kubernetes","当前图中的 Compute & scheduling 代表项目；仓库仍在维护，5,766 stars，2026 年 7 月 OpenRank 9.58。",保留通用计算和 Kubernetes AI 调度代表，不增加相似控制器。
microsoft/onnxruntime,add,Model Infra,Serving · Inference,46.91,21256,MIT,"ONNX Runtime: cross-platform, high performance ML inferencing and training accelerator",跨平台推理 runtime 仍是 CPU、GPU 和边缘部署的重要基线，当前 21k+ stars、最近可用 OpenRank 64.52。,项目覆盖广泛 ML workload，不专属于 LLM；在图中只表达通用 inference runtime。
openxla/xla,add,Model Infra,Pre-Train · Compiler & accelerator,11.48,4449,Apache-2.0,"A machine learning compiler for GPUs, CPUs, and ML accelerators",Apache-2.0 的跨 GPU、CPU 和专用加速器编译基础设施，补足当前编译器层只展示 kernel 与算子库的问题。,star 规模不大；保留依据是结构代表性和开放编译栈位置。
tensorflow/tensorflow,add,Model Infra,Pre-Train · Framework & parallel,9.56,196777,Apache-2.0,An Open Source Machine Learning Framework for Everyone,通用训练框架的历史基线仍应保留，尤其在 NeMo 仓库改名为 Speech 后，原位置已经不再准确。,近期 OpenRank 明显低于 PyTorch、JAX；入图表示生态基线，不解释成增长项目。
IBM/mcp-context-forge,add,Model Infra,Model API gateways,30.35,4196,Apache-2.0,"An AI Gateway, registry, and proxy that sits in front of any MCP, A2A, or REST/gRPC APIs, exposing a unified endpoint with centralized discovery, guardrails and management. Optimizes Agent & Tool calling, and supports plugins.",提供 MCP gateway、registry 与可观测能力，补足协议落地后的企业运维和治理入口。,与 AgentGateway 有交叉；保留两个是为了区分流量代理和 MCP 管理平台，不再继续增加同类 gateway。
RLinf/RLinf,keep,Model Infra,Post-Train · Reinforcement learning,10.12,4395,Apache-2.0,RLinf: Reinforcement Learning Infrastructure for Embodied and Agentic AI,"当前图中的 Post-Train · Reinforcement learning 代表项目；仓库仍在维护，4,395 stars，2026 年 7 月 OpenRank 10.12。",框架功能重叠明显，按通用性和持续协作控制在四个项目。
llm-d/llm-d,keep,Model Infra,Serving · Deploy,19.67,3962,Apache-2.0,Achieve state of the art inference performance with modern accelerators on Kubernetes,"当前图中的 Serving · Deploy 代表项目；仓库仍在维护，3,962 stars，2026 年 7 月 OpenRank 19.67。",该区只保留部署入口和 serving control plane，不与底层 inference engine 重复。
agentgateway/agentgateway,add,Model Infra,Model API gateways,17.51,4194,Apache-2.0,Next Generation Agentic Proxy for AI Agents and MCP servers,Rust 实现的 agentic proxy，覆盖 MCP 与 agent 流量策略，能代表 gateway 从模型 API 代理扩展到 agent 控制面。,与 LiteLLM 的 model API gateway 定位不同，图中应直接标成 agentic proxy。
vllm-project/vllm-omni,add,Model Infra,Serving · Inference,54.29,5810,Apache-2.0,A framework for efficient model inference with omni-modality models,把 vLLM serving 扩展到文本、图像、音频、视频和 action output，直接对应多模态 agent workload。,它与 vLLM 主项目同属一个生态；版面上应做子项目关系提示，避免看成两个无关引擎。
LMCache/LMCache,add,Model Infra,Serving · Inference,17.97,11000,Apache-2.0,LMCache: Supercharge Your LLM with the Fastest KV Cache Layer,KV cache 已成为长上下文和多轮 agent workload 的独立复用层；LMCache 的社区信号和采用度足以进入主图。,与 Mooncake 的位置高度重叠，本版采用替换而不是并列增加。
huggingface/trl,add,Model Infra,Post-Train · Reinforcement learning,22.75,18992,Apache-2.0,Train transformer language models with reinforcement learning.,SFT、DPO、GRPO 等 post-training 的通用基础库，在 Hugging Face 生态中具有长期代表性。,项目不是 2026 新晋热点；这是旧图漏项修正，并替换社区信号较弱的 OpenRLHF。
NVIDIA/Model-Optimizer,add,Model Infra,Pre-Train · Compiler & accelerator,36.92,3377,Apache-2.0,"A unified library of SOTA model optimization techniques like quantization, distillation, pruning, neural architecture search, speculative decoding, etc. It compresses deep learning models for downstream deployment frameworks like TensorRT-LLM, TensorRT, vLLM, etc. to optimize inference speed.",统一量化、蒸馏、剪枝和投机解码等部署优化能力，最近可用 OpenRank 56.14。,厂商主导且与 TensorRT-LLM 有交叉；主图只表达模型优化层，不扩展 NVIDIA 同栈项目数量。
diegosouzapw/OmniRoute,add,Model Infra,Model API gateways,31.92,38553,MIT,"Never stop coding. Free MIT AI gateway: one endpoint, 290+ providers (90+ free), 500+ models — Kimi, Claude, GPT, OpenAI, Gemini, GLM, DeepSeek, MiniMax. Works with Claude Code, Codex, Cursor, OpenCode, Cline & Copilot. Quota-aware auto-fallback, RTK+Caveman compression saves 15-95% tokens, MCP/A2A, Desktop/PWA. Built by 500+ contributors","截至 2026-07-28 有 32,706 stars；2026 Q2 OpenRank 为 112.73，覆盖多模型路由、配额感知 fallback 与 MCP/A2A。",与 LiteLLM、New API 和 AgentGateway 有交叉；保留它是为了表达近期 gateway 热度，不继续扩充同类项目。
