repo_name,landscape_action,landscape_layer,landscape_section,openrank_2607,stars,license,description,selection_reason,selection_caveat
CherryHQ/cherry-studio,keep,Agent Infra,Chatbot workspaces,45.74,49356,AGPL-3.0,"AI productivity studio with smart chat, autonomous agents, and 300+ assistants. Unified access to frontier LLMs","当前图中的 Chatbot workspaces 代表项目；仓库仍在维护，49,356 stars，2026 年 7 月 OpenRank 45.74。",该区维持三个成熟代表，避免把普通聊天客户端扩张成主图主体。
code-yeongyu/oh-my-openagent,keep,Agent Infra,Coding harnesses,23.75,67129,NOASSERTION,"omo/lazycodex: The coding agent for tokenmaxxers;the one and only agent harness for complex codebases. For your Codex, for your OpenCode","当前图中的 Coding harnesses 代表项目；仓库仍在维护，67,129 stars，2026 年 7 月 OpenRank 23.75。",harness 热度容易受短期传播影响，需要持续检查外部贡献和真实复用。
danny-avila/LibreChat,keep,Agent Infra,Chatbot workspaces,22.06,41615,MIT,"Enhanced ChatGPT Clone: Features Agents, MCP, Skills, DeepSeek, Anthropic, AWS, OpenAI, Responses API, Azure, Groq, o1, GPT-5, Mistral, OpenRouter, Vertex AI, Gemini, Artifacts, AI model switching, message search, Code Interpreter, langchain, DALL-E-3, OpenAPI Actions, Functions, Secure Multi-User Auth, Presets, open-source for self-hosting. Active","当前图中的 Chatbot workspaces 代表项目；仓库仍在维护，41,615 stars，2026 年 7 月 OpenRank 22.06。",该区维持三个成熟代表，避免把普通聊天客户端扩张成主图主体。
pipecat-ai/pipecat,keep,Agent Infra,Code-first frameworks,16.15,13894,BSD-2-Clause,Open Source framework for voice and multimodal conversational AI,"当前图中的 Code-first frameworks 代表项目；仓库仍在维护，13,894 stars，2026 年 7 月 OpenRank 16.15。",该区按语言和 runtime 多样性取样，不追求把所有 framework 都放进来。
farion1231/cc-switch,keep,Agent Infra,Coding harnesses,29.32,123921,MIT,"A cross-platform desktop All-in-One assistant for Claude Code, Codex, OpenCode, OpenClaw, Grok Build & Hermes Agent. Only official website: ccswitch.io",cc-switch 管理 Claude Code、Codex、OpenCode 等 coding agent 的配置和切换，更接近 harness，而不是模型 API gateway。,项目关注度很高，但产品属性较强；保留一个 logo，不在 gateway 区重复出现。
zeroclaw-labs/zeroclaw,keep,Agent Infra,Personal AI assistants,41.22,32491,Apache-2.0,"Fast, small, and fully autonomous AI personal assistant infrastructure, any OS, any platform — deploy anywhere, swap anything 🦀","当前图中的 Personal AI assistants 代表项目；仓库仍在维护，32,491 stars，2026 年 7 月 OpenRank 41.22。",产品边界普遍较宽，只在这一分区出现，避免与 chatbot 和 framework 重复。
crewAIInc/crewAI,keep,Agent Infra,Code-first frameworks,14.35,56572,MIT,"Framework for orchestrating role-playing, autonomous AI agents. By fostering collaborative intelligence, CrewAI empowers agents to work together seamlessly, tackling complex tasks.","当前图中的 Code-first frameworks 代表项目；仓库仍在维护，56,572 stars，2026 年 7 月 OpenRank 14.35。",该区按语言和 runtime 多样性取样，不追求把所有 framework 都放进来。
a2aproject/A2A,keep,Agent Infra,Protocols & interoperability,5.11,25166,Apache-2.0,Agent2Agent (A2A) is an open protocol enabling communication and interoperability between opaque agentic applications.,"当前图中的 Protocols & interoperability 代表项目；仓库仍在维护，25,166 stars，2026 年 7 月 OpenRank 5.11。",协议成熟度差异较大，preview 或规范状态需要在图上明确。
mastra-ai/mastra,keep,Agent Infra,Multi-agent orchestration,54.41,26866,NOASSERTION,Mastra is the modern TypeScript framework for AI-powered applications and agents.,"当前图中的 Multi-agent orchestration 代表项目；仓库仍在维护，26,866 stars，2026 年 7 月 OpenRank 54.41。",多 agent 概念变化快，保留项目需要持续显示独立编排能力。
daytonaio/daytona,keep,Agent Infra,Development sandboxes,,72062,NOASSERTION,Daytona is a Secure and Elastic Infrastructure for Running AI-Generated Code,"当前图中的 Development sandboxes 代表项目；仓库仍在维护，72,062 stars。",编排层和隔离 runtime 不是一回事，主图说明中要保留这一区别。
FlowiseAI/Flowise,add,Agent Infra,Workflow & agent builders,7.76,55116,NOASSERTION,"Build AI Agents, Visually",54k+ stars 的可视化 agent builder，结构定位比 ComfyUI 更贴合通用 agent workflow。,与 Dify、Langflow 功能接近；该区维持五个 logo，不继续扩容。
langfuse/langfuse,keep,Agent Infra,Observability & evaluation,31.4,32431,NOASSERTION,"🪢 Open source AI engineering platform: LLM evals, observability, metrics, prompt management, playground, datasets. Integrates with OpenTelemetry, LangChain, OpenAI SDK, LiteLLM, and more. 🍊YC W23","当前图中的 Observability & evaluation 代表项目；仓库仍在维护，32,431 stars，2026 年 7 月 OpenRank 31.40。",商业产品和 open-core 较多，后续要持续检查许可证与开放治理。
comet-ml/opik,keep,Agent Infra,Observability & evaluation,27.22,21085,Apache-2.0,"Debug, evaluate, and monitor your LLM applications, RAG systems, and agentic workflows with comprehensive tracing, automated evaluations, and production-ready dashboards.","当前图中的 Observability & evaluation 代表项目；仓库仍在维护，21,085 stars，2026 年 7 月 OpenRank 27.22。",商业产品和 open-core 较多，后续要持续检查许可证与开放治理。
Arize-ai/phoenix,keep,Agent Infra,Observability & evaluation,25.11,10872,NOASSERTION,AI Observability & Evaluation,"当前图中的 Observability & evaluation 代表项目；仓库仍在维护，10,872 stars，2026 年 7 月 OpenRank 25.11。",商业产品和 open-core 较多，后续要持续检查许可证与开放治理。
promptfoo/promptfoo,keep,Agent Infra,Observability & evaluation,10.32,23879,MIT,"Test your prompts, agents, and RAGs. Red teaming/pentesting/vulnerability scanning for AI. Compare performance of GPT, Claude, Gemini, DeepSeek, and more. Simple declarative configs with command line and CI/CD integration.  Used by OpenAI and Anthropic.","当前图中的 Observability & evaluation 代表项目；仓库仍在维护，23,879 stars，2026 年 7 月 OpenRank 10.32。",商业产品和 open-core 较多，后续要持续检查许可证与开放治理。
milvus-io/milvus,add,Agent Infra,"Memory, knowledge & context",44.93,45489,Apache-2.0,"Milvus is a high-performance, cloud-native vector database built for scalable vector ANN search",成熟向量数据库仍是 agent context 的重要底座；当前 45k+ stars、最近可用 OpenRank 68.34，社区信号稳定。,它是通用向量数据库，不应被描述成 agent memory framework；在图中承担底层检索基础设施的位置。
NousResearch/hermes-agent,keep,Agent Infra,Personal AI assistants,350.21,224762,MIT,The agent that grows with you,"当前图中的 Personal AI assistants 代表项目；仓库仍在维护，224,762 stars，2026 年 7 月 OpenRank 350.21。",产品边界普遍较宽，只在这一分区出现，避免与 chatbot 和 framework 重复。
obra/superpowers,keep,Agent Infra,Coding harnesses,5.12,265580,MIT,An agentic skills framework & software development methodology that works.,"当前图中的 Coding harnesses 代表项目；仓库仍在维护，265,580 stars，2026 年 7 月 OpenRank 5.12。",harness 热度容易受短期传播影响，需要持续检查外部贡献和真实复用。
earendil-works/pi,keep,Agent Infra,Agentic coding,43.89,82868,MIT,"AI agent toolkit: unified LLM API, agent loop, TUI, coding agent CLI","当前图中的 Agentic coding 代表项目；仓库仍在维护，82,868 stars，2026 年 7 月 OpenRank 43.89。",该区变化最快，logo 数量控制在 12 个，后续按持续协作和产品独立性替换。
paperclipai/paperclip,keep,Agent Infra,Multi-agent orchestration,49.68,75505,MIT,The open-source app everyone uses to manage agents at work,"当前图中的 Multi-agent orchestration 代表项目；仓库仍在维护，75,505 stars，2026 年 7 月 OpenRank 49.68。",多 agent 概念变化快，保留项目需要持续显示独立编排能力。
CopilotKit/CopilotKit,keep,Agent Infra,Code-first frameworks,31.48,36427,MIT,"The Frontend Stack for Agents & Generative UI. React, Angular, Mobile, Slack, and more.  Makers of the AG-UI Protocol","当前图中的 Code-first frameworks 代表项目；仓库仍在维护，36,427 stars，2026 年 7 月 OpenRank 31.48。",该区按语言和 runtime 多样性取样，不追求把所有 framework 都放进来。
oceanbase/seekdb,keep,Agent Infra,"Memory, knowledge & context",6.29,2856,Apache-2.0,"The AI-Native Search Database. Best for agent storage, it unifies vector, text, structured, and semi-structured data into a single engine. This all-in-one database makes agents smarter, easier to run, and more stable.","当前图中的 Memory, knowledge & context 代表项目；仓库仍在维护，2,856 stars，2026 年 7 月 OpenRank 6.29。",数据库、RAG 和 memory 边界容易混淆，图中要标清每个项目承担的层次。
warpdotdev/warp,keep,Agent Infra,Agentic coding,53.23,63909,AGPL-3.0,"Warp is an agentic development environment, born out of the terminal.","当前图中的 Agentic coding 代表项目；仓库仍在维护，63,909 stars，2026 年 7 月 OpenRank 53.23。",该区变化最快，logo 数量控制在 12 个，后续按持续协作和产品独立性替换。
HKUDS/nanobot,keep,Agent Infra,Personal AI assistants,36.96,46565,MIT,"Ultra-lightweight, open-source, self-hosted personal AI agent framework in Python with WebUI, tools, memory, MCP, multi-agent workflows, automation, and chat apps","当前图中的 Personal AI assistants 代表项目；仓库仍在维护，46,565 stars，2026 年 7 月 OpenRank 36.96。",产品边界普遍较宽，只在这一分区出现，避免与 chatbot 和 framework 重复。
multica-ai/multica,keep,Agent Infra,Multi-agent orchestration,30.63,43503,NOASSERTION,"The open-source managed agents platform. Turn coding agents into real teammates — assign tasks, track progress, compound skills.","当前图中的 Multi-agent orchestration 代表项目；仓库仍在维护，43,503 stars，2026 年 7 月 OpenRank 30.63。",多 agent 概念变化快，保留项目需要持续显示独立编排能力。
bytedance/deer-flow,keep,Agent Infra,Multi-agent orchestration,218.2,79122,MIT,"An open-source long-horizon SuperAgent harness that researches, codes, and creates. With the help of sandboxes, memories, tools, skill, subagents and message gateway, it handles different levels of tasks that could take minutes to hours.","当前图中的 Multi-agent orchestration 代表项目；仓库仍在维护，79,122 stars，2026 年 7 月 OpenRank 218.20。",多 agent 概念变化快，保留项目需要持续显示独立编排能力。
vercel-labs/agent-browser,keep,Agent Infra,Tool & browser use,6.29,39840,Apache-2.0,Browser automation CLI for AI agents,"当前图中的 Tool & browser use 代表项目；仓库仍在维护，39,840 stars，2026 年 7 月 OpenRank 6.29。",browser/computer-use 项目迭代很快，需要按可复现能力和维护状态复核。
vectorize-io/hindsight,keep,Agent Infra,"Memory, knowledge & context",15.15,19042,MIT,Hindsight: Agent Memory That  Learns,"当前图中的 Memory, knowledge & context 代表项目；仓库仍在维护，19,042 stars，2026 年 7 月 OpenRank 15.15。",数据库、RAG 和 memory 边界容易混淆，图中要标清每个项目承担的层次。
affaan-m/ECC,keep,Agent Infra,Coding harnesses,14.71,237255,MIT,"The agent harness performance optimization system. Skills, instincts, memory, security, and research-first development for Claude Code, Codex, Opencode, Cursor and beyond.","当前图中的 Coding harnesses 代表项目；仓库仍在维护，237,255 stars，2026 年 7 月 OpenRank 14.71。",harness 热度容易受短期传播影响，需要持续检查外部贡献和真实复用。
agentscope-ai/QwenPaw,keep,Agent Infra,Personal AI assistants,35.86,32478,Apache-2.0,"Your Personal AI Assistant; easy to install, deploy on your own machine or on the cloud; supports multiple chat apps with easily extensible capabilities.","当前图中的 Personal AI assistants 代表项目；仓库仍在维护，32,478 stars，2026 年 7 月 OpenRank 35.86。",产品边界普遍较宽，只在这一分区出现，避免与 chatbot 和 framework 重复。
alibaba/page-agent,keep,Agent Infra,Tool & browser use,1.55,28391,MIT,JavaScript in-page GUI agent. Control web interfaces with natural language.,"当前图中的 Tool & browser use 代表项目；仓库仍在维护，28,391 stars，2026 年 7 月 OpenRank 1.55。",browser/computer-use 项目迭代很快，需要按可复现能力和维护状态复核。
QwenLM/qwen-code,keep,Agent Infra,Agentic coding,53.69,26594,Apache-2.0,An open-source AI coding agent that lives in your terminal.,"当前图中的 Agentic coding 代表项目；仓库仍在维护，26,594 stars，2026 年 7 月 OpenRank 53.69。",该区变化最快，logo 数量控制在 12 个，后续按持续协作和产品独立性替换。
github/copilot-cli,keep,Agent Infra,Agentic coding,9.93,11049,NOASSERTION,GitHub Copilot CLI brings the power of Copilot coding agent directly to your terminal.,"当前图中的 Agentic coding 代表项目；仓库仍在维护，11,049 stars，2026 年 7 月 OpenRank 9.93。",该区变化最快，logo 数量控制在 12 个，后续按持续协作和产品独立性替换。
opensandbox-group/OpenSandbox,keep,Agent Infra,Development sandboxes,11.3,12316,Apache-2.0,"Secure, Fast, and Extensible Sandbox runtime for AI agents.","当前图中的 Development sandboxes 代表项目；仓库仍在维护，12,316 stars，2026 年 7 月 OpenRank 11.30。",编排层和隔离 runtime 不是一回事，主图说明中要保留这一区别。
volcengine/OpenViking,add,Agent Infra,"Memory, knowledge & context",177.61,27812,AGPL-3.0,"Self-evolving Context Database for AI Agents. Unify Agent Memory, Knowledge RAG and Skills.",把 memory、RAG 和 skills 收敛为 context database，补上当前图缺少的 agent-native context 数据层。,主仓库使用 AGPL-3.0；图例或许可证分析中需要明确标注。
microsoft/agent-framework,add,Agent Infra,Code-first frameworks,27.23,12570,MIT,"A framework for building, orchestrating and deploying AI agents and multi-agent workflows with support for Python and .NET.",统一 Python 与 .NET 的 agent 和 multi-agent 开发路径，补足企业开发栈与跨语言框架代表。,与 AutoGen、Semantic Kernel 有谱系关系；主图只保留当前统一框架，不并列堆放三个 Microsoft 项目。
JetBrains/koog,add,Agent Infra,Code-first frameworks,,4498,Apache-2.0,"Koog is a JVM (Java and Kotlin) framework for building predictable, fault-tolerant and enterprise-ready AI agents across all platforms – from backend services to Android and iOS, JVM, and even in-browser environments. Koog is based on our AI products expertise and provides proven solutions for complex LLM and AI problems",为 Kotlin/JVM、Android 和 iOS 提供 agent framework，修正当前框架区过度集中在 Python、TypeScript 的问题。,社区规模仍小于 LangChain、Pydantic AI；入图理由是语言生态代表性，不是热度排名。
trycua/cua,add,Agent Infra,Tool & browser use,7.79,20895,MIT,"Scale computer-use 2.0 with open-source drivers, cross-OS fleets, and benchmarks for training, evaluation, and data generation.",把 computer use 扩展到跨 OS driver、fleet、benchmark 和数据生成，结构价值高于再增加一个 browser agent。,最近可用 OpenRank 绝对值不高；保留依据主要是类别变化和当前关注度。
ag-ui-protocol/ag-ui,add,Agent Infra,Protocols & interoperability,5.38,15116,MIT,AG-UI: the Agent-User Interaction Protocol. Bring Agents into Frontend Applications.,补上 agent 到前端应用之间的事件与交互协议，当前协议区不再只围绕 MCP 和 A2A。,AG-UI 更偏交互事件和传输层；不要与 A2UI 合并成同一个概念。
a2ui-project/a2ui,add,Agent Infra,Protocols & interoperability,33.04,15985,Apache-2.0,,代表声明式 agent-generated UI，与 MCP、A2A、AG-UI 共同构成更完整的 agent interface 协议面。,官方仍标注 early-stage public preview，主图应加 preview 标识。
kubernetes-sigs/agent-sandbox,add,Agent Infra,Development sandboxes,11.35,3379,Apache-2.0,"agent-sandbox enables easy management of isolated, stateful, singleton workloads, ideal for use cases like AI agent runtimes.",Kubernetes SIG Apps 承载的声明式 sandbox orchestration，补上稳定身份、持久存储和 warm pool 这一层。,它是 sandbox orchestrator，不是底层隔离 runtime；与 OpenSandbox、Coder、Daytona 的角色需要区分。
topoteretes/cognee,add,Agent Infra,"Memory, knowledge & context",19.93,29729,Apache-2.0,Cognee is the open-source AI memory platform for agents. Give your AI agents persistent long-term memory across sessions with a self-hosted knowledge graph engine.,长期记忆与 knowledge graph 结合，补足当前 memory 区对图结构和持久知识表达的覆盖。,与 RAGFlow、Mem0 有部分功能重叠；保留重点是 graph-based memory，不再额外增加同类项目。
github/spec-kit,add,Agent Infra,Coding harnesses,15.58,125153,MIT,💫 Toolkit to help you get started with Spec-Driven Development,把 specification、plan 和 tasks 做成可由不同 coding agent 执行的流程，补上代码生成之前的公共工作层。,关注度很高，但 OpenRank 已从发布期峰值回落；入图表达 spec-driven workflow，不解释成近期协作增长。
openai/symphony,add,Agent Infra,Coding harnesses,,26402,Apache-2.0,"Symphony turns project work into isolated, autonomous implementation runs, allowing teams to manage work instead of supervising coding agents.",把项目看板上的工作拆成隔离的自主实现 run，补上 coding agent 之上的任务编排和 proof-of-work。,官方仍称其为 engineering preview，只适合可信环境；当前协作规模也低于头部 coding 项目。
larksuite/cli,add,Agent Infra,Tool & browser use,179.37,16096,MIT,"The official Lark/飞书 CLI tool, maintained by the larksuite team — built for humans and AI Agents. Covers core business domains including Messenger, Docs, Base, Sheets, Calendar, Mail, Tasks, Meetings, and more, with 200+ commands and 20+ AI Agent Skills.",把文档、日历、邮件和消息等 SaaS 能力交付成结构化 CLI 与 Agent Skills，代表业务软件正在提供 agent-native 入口。,能力集中在 Lark/飞书生态；入图表达工具入口的变化，不把单一厂商覆盖面外推到整个 SaaS 市场。
microsoft/SkillOpt,add,Agent Infra,Observability & evaluation,1.56,15540,MIT,"SkillOpt is a text-space optimizer that trains reusable natural-language skills for frozen LLM agents through trajectory-driven edits, validation-gated updates, and deployable best_skill.md artifacts.",把 skill 文档当作可训练状态，用 rollout、评估和验证门更新，说明 agent 改进开始发生在模型权重之外。,项目创建不足三个月，OpenRank 历史仍短；暂放 Observability & evaluation，后续再判断是否需要单独的 improvement 类别。
firecrawl/firecrawl,add,Agent Infra,Tool & browser use,5.72,159899,AGPL-3.0,"The context API to search, scrape, and interact with the web at scale. 🔥",覆盖 search、scrape、crawl 与页面交互，把开放 Web 变成 agent 可调用的上下文接口；这是上一轮按近期增速筛选时漏掉的成熟基础设施。,Stars 很高但近期 OpenRank 下行；社区版采用 AGPL-3.0，托管服务和自部署边界需要分开理解。
